Student_ID,Course_Code,Score,Grade,Points
120240002465,IMP07-10102_01,25.50,F,0.00
120240002465,IMP07-10103_01,73.00,C+,2.99
120240002465,IMP07-10104_01,46.50,F,0.00
120240002465,IMP07-10105_01,30.00,D,2.59
120240002465,IMP07-10106_01,22.50,A,3.79
120240002465,IMP07-10107_01,23.50,A,3.79
120240002465,IMP07-10108_01,23.50,A,3.79
120240002465,IMP07-EA03_01,0.00,P,0.00
120240002465,URR07-10101_01,15.50,D,2.59
120240002465,IMP07-10211_01,20.00,B+,3.39
120240002465,IMP07-10212_01,44.00,F,0.00
120240002465,IMP07-10213_01,25.50,F,0.00
120240002465,IMP07-10214_01,35.00,C+,2.99
120240002465,IMP07-10215_01,49.00,F,0.00
120240002465,IMP07-ENA04_01,0.00,P,0.00
120240002465,URR07-10209_01,(Abs),F,0.00
120240002465,URR07-10210_01,24.00||9.00||15.00,A+,4.00
320240000053,IMP07-10102_01,21.50,F,0.00
320240000053,IMP07-10103_01,72.50,C+,2.99
320240000053,IMP07-10104_01,69.00,C,2.79
320240000053,IMP07-10105_01,32.00,D,2.59
320240000053,IMP07-10106_01,24.00,A+,4.00
320240000053,IMP07-10107_01,24.00,A+,4.00
320240000053,IMP07-10108_01,23.50,A,3.79
320240000053,IMP07-EA03_01,0.00,P,0.00
320240000053,URR07-10101_01,17.00,C,2.79
320240000053,IMP07-10211_01,15.00,D,2.59
320240000053,IMP07-10212_01,70.50,C+,2.99
320240000053,IMP07-10213_01,147.50,C+,2.99
320240000053,IMP07-10214_01,47.00,A,3.79
320240000053,IMP07-10215_01,68.00,C,2.79
320240000053,IMP07-ENA04_01,0.00,P,0.00
320240000053,URR07-10209_01,24.00,A+,4.00
320240000053,URR07-10210_01,24.00||9.00||15.00,A+,4.00
320240038168,IMP07-10102_01,(Abs),F,0.00
320240038168,IMP07-10103_01,(Abs),F,0.00
320240038168,IMP07-10104_01,(Abs),F,0.00
320240038168,IMP07-10105_01,(Abs),F,0.00
320240038168,IMP07-10106_01,(Abs),F,0.00
320240038168,IMP07-10107_01,(Abs),F,0.00
320240038168,IMP07-10108_01,(Abs),F,0.00
320240038168,IMP07-EA03_01,(Abs),NP,0.00
320240038168,URR07-10101_01,(Abs),F,0.00
320240038168,IMP07-10211_01,(Abs),F,0.00
320240038168,IMP07-10212_01,(Abs),F,0.00
320240038168,IMP07-10213_01,(Abs),F,0.00
320240038168,IMP07-10214_01,(Abs),F,0.00
320240038168,IMP07-10215_01,(Abs),F,0.00
320240038168,IMP07-ENA04_01,(Abs),F,0.00
320240038168,URR07-10209_01,(Abs),F,0.00
320240038168,URR07-10210_01,(Abs),F,0.00
120250003526,IMP07-10102_01,153.50,A-,3.59
120250003526,IMP07-10103_01,81.00,B+,3.39
120250003526,IMP07-10104_01,84.50,B+,3.39
120250003526,IMP07-10105_01,40.50,B+,3.39
120250003526,IMP07-10106_01,23.50,A,3.79
120250003526,IMP07-10107_01,21.00,B+,3.39
120250003526,IMP07-10108_01,21.00,B+,3.39
120250003526,IMP07-EA03_01,0.00,P,0.00
120250003526,URR07-10101_01,22.00,A-,3.59
120250003526,IMP07-10211_01,18.00,C+,2.99
120250003526,IMP07-10212_01,72.00,C+,2.99
120250003526,IMP07-10213_01,170.50,A-,3.59
120250003526,IMP07-10214_01,48.00,A+,4.00
120250003526,IMP07-10215_01,81.50,B+,3.39
120250003526,IMP07-ENA04_01,0.00,P,0.00
120250003526,URR07-10209_01,23.00,A,3.79
120250003526,URR07-10210_01,24.00||9.00||15.00,A+,4.00
120250003527,IMP07-10102_01,114.00,C,2.79
120250003527,IMP07-10103_01,15.00,F,0.00
120250003527,IMP07-10104_01,61.50,D,2.59
120250003527,IMP07-10105_01,42.00,B+,3.39
120250003527,IMP07-10106_01,21.00,B+,3.39
120250003527,IMP07-10107_01,18.00,C+,2.99
120250003527,IMP07-10108_01,20.50,B+,3.39
120250003527,IMP07-EA03_01,0.00,P,0.00
120250003527,URR07-10101_01,23.50,A,3.79
120250003527,IMP07-10211_01,23.00,A,3.79
120250003527,IMP07-10212_01,63.00,D,2.59
120250003527,IMP07-10213_01,137.50,C,2.79
120250003527,IMP07-10214_01,45.00,A,3.79
120250003527,IMP07-10215_01,82.50,B+,3.39
120250003527,IMP07-ENA04_01,0.00,P,0.00
120250003527,URR07-10209_01,22.00,A-,3.59
120250003527,URR07-10210_01,25.00||10.00||15.00,A+,4.00
120250003528,IMP07-10102_01,147.50,B+,3.39
120250003528,IMP07-10103_01,81.00,B+,3.39
120250003528,IMP07-10104_01,84.00,B+,3.39
120250003528,IMP07-10105_01,44.50,A-,3.59
120250003528,IMP07-10106_01,24.00,A+,4.00
120250003528,IMP07-10107_01,21.50,A-,3.59
120250003528,IMP07-10108_01,23.00,A,3.79
120250003528,IMP07-EA03_01,0.00,P,0.00
120250003528,URR07-10101_01,22.00,A-,3.59
120250003528,IMP07-10211_01,19.00,B,3.19
120250003528,IMP07-10212_01,79.00,B,3.19
120250003528,IMP07-10213_01,177.00,A-,3.59
120250003528,IMP07-10214_01,48.00,A+,4.00
120250003528,IMP07-10215_01,86.00,A-,3.59
120250003528,IMP07-ENA04_01,0.00,P,0.00
120250003528,URR07-10209_01,22.00,A-,3.59
120250003528,URR07-10210_01,25.00||10.00||15.00,A+,4.00
120250003529,IMP07-10102_01,24.00,F,0.00
120250003529,IMP07-10103_01,9.00,F,0.00
120250003529,IMP07-10104_01,12.00,F,0.00
120250003529,IMP07-10105_01,30.00,D,2.59
120250003529,IMP07-10106_01,16.50,C,2.79
120250003529,IMP07-10107_01,11.50,F,0.00
120250003529,IMP07-10108_01,17.00,C,2.79
120250003529,IMP07-EA03_01,0.00,P,0.00
120250003529,URR07-10101_01,19.00,B,3.19
120250003529,IMP07-10211_01,19.00,B,3.19
120250003529,IMP07-10212_01,60.00,D,2.59
120250003529,IMP07-10213_01,160.00,B+,3.39
120250003529,IMP07-10214_01,47.00,A,3.79
120250003529,IMP07-10215_01,69.00,C,2.79
120250003529,IMP07-ENA04_01,0.00,P,0.00
120250003529,URR07-10209_01,19.00,B,3.19
120250003529,URR07-10210_01,23.00||8.00||15.00,A,3.79
120250003530,IMP07-10102_01,154.50,A-,3.59
